英単語,日本語,英語意味
wake,ウェイク,the consequences of an event (especially a catastrophic event)
ward,区,a person who is under the protection or in the custody of another
wardrobe,ワードローブ,a tall piece of furniture that provides storage space for clothes; has a door and rails or hooks for hanging clothes
warm,暖かいです,get warm or warmer
warmly,暖かく,in a hearty manner
warmth,暖かさ,the sensation caused by heat energy
warn,警告します,"notify of danger, potential harm, or risk"
warning,警告,a message informing of danger
warranty,保証,a written assurance that some product or service will be provided or will meet certain specifications
warrior,戦士,someone engaged in or experienced in warfare
washbowl,洗面器,a bathroom sink that is permanently installed and connected to a water supply and drainpipe; where you can wash your hands and face
waste,無駄,any materials unused and rejected as worthless or unwanted
wasteful,無駄な,inefficient in use of time and effort and materials
waterfall,滝,a steep descent of the water of a river
wave,波,one of a series of ridges that moves across the surface of a liquid (especially across a large body of water)
wax,ワックス,any of various substances of either mineral origin or plant or animal origin; they are solid at normal temperatures and insoluble in water
weakness,弱点,a flaw or weak point
weapon,武器,any instrument or instrumentality used in fighting or hunting
webcam,ウェブカメラ,a digital camera designed to take digital photographs and transmit them over the internet
weird,不気味,fate personified; any one of the three Weird Sisters
welcome,ようこそ,the state of being welcome
well-dressed,灰汁抜けのしました,having tasteful clothing and being scrupulously neat
westward,以西,the cardinal compass point that is a 270 degrees
wetland,湿地,a low area where the land is saturated with water
whale,鯨,a very large person; impressive in size or qualities
whatever,なんでも,one or some or every or all without specification
wherever,どこ,where in the world
while,同時に,a period of indeterminate length (usually short) marked by some action or condition
whisper,囁き,speaking softly without vibration of the vocal cords
whistle,ホイッスル,the sound made by something moving rapidly or by steam coming out of a small aperture
whole,全体,all of something including all its component elements or parts
widespread,広範,widely circulated or diffused
wildlife,野生動物,all living things (except people) that are undomesticated
wildly,乱暴,to an extreme or greatly exaggerated degree
willingness,意欲,cheerful compliance
windscreen,フロントガラス,transparent screen (as of glass) to protect occupants of a vehicle
windsurfing,ウィンドサーフィン,"ride standing on a surfboard with an attached sail, on water"
wing,羽,a movable organ for flying (one of a pair)
wire,ワイヤー,ligament made of metal and used to fasten things or make cages or fences etc
wither,枯れ,"wither, as with a loss of moisture"
witness,証人,someone who sees an event and reports what happened
wizard,ウィザード,someone who is dazzlingly skilled in any field
wonder,ワンダー,the feeling aroused by something strange and surprising
working,ワーキング,a mine or quarry that is being or has been worked
workout,いい結果になる,the activity of exerting your muscles in various ways to keep fit
workplace,職場,a place where work is done
workshop,工房,small workplace where handcrafts or manufacturing are done
worn,着用,be dressed in
worst,最悪,the least favorable outcome
worth,価値,an indefinite quantity of something having a specified value
worthwhile,やりがいのあります,sufficiently valuable to justify the investment of time or interest
worthy,価値があります,"an important, honorable person (word is often used humorously)"
wound,創傷,an injury to living tissue (especially an injury involving a cut or break in the skin)
wrap,ラップ,cloak that is folded or wrapped around a person
wrapping,ラッピング,the covering (usually paper or cellophane) in which something is wrapped
wrist,手首,a joint between the distal end of the radius and the proximal row of carpal bones
wristwatch,腕時計,a watch that is worn strapped to the wrist
written,書かれました,produce a literary work
yell,エール,a loud utterance; often in protest or opposition
yet,未だ,up to the present time
yoga,ヨガ,Hindu discipline aimed at training the consciousness for a state of perfect spiritual insight and tranquility that is achieved through the three paths of actions and knowledge and devotion
